symbol,baseCoin,quoteCoin,fundingInterval,launchTime
JELLYJELLYUSDT,JELLYJELLY,USDT,240,2025-01-30 06:45:11
JOEUSDT,JOE,USDT,480,2023-03-29 04:02:48
JSTUSDT,JST,USDT,480,2022-02-18 06:45:41
JTOUSDT,JTO,USDT,240,2023-12-07 19:50:19
JUPUSDT,JUP,USDT,240,2024-01-31 15:51:07
JUSDT,J,USDT,240,2025-01-22 10:36:51
KAIAUSDT,KAIA,USDT,240,2024-11-01 08:24:34
KAITOUSDT,KAITO,USDT,60,2025-02-20 13:22:07
KASUSDT,KAS,USDT,240,2023-08-04 08:34:41
KAVAUSDT,KAVA,USDT,480,2022-01-10 07:54:47
KDAUSDT,KDA,USDT,240,2022-03-15 02:37:12
KERNELUSDT,KERNEL,USDT,240,2025-04-14 12:07:24
KMNOUSDT,KMNO,USDT,240,2024-10-09 08:52:41
KNCUSDT,KNC,USDT,480,2022-01-10 07:40:34
KOMAUSDT,KOMA,USDT,240,2024-12-10 13:35:47
KSMUSDT,KSM,USDT,480,2021-10-12 00:00:00
L3USDT,L3,USDT,480,2024-07-31 09:10:09
LAUNCHCOINUSDT,LAUNCHCOIN,USDT,240,2025-05-14 09:04:36
LDOUSDT,LDO,USDT,480,2022-07-20 06:53:39
LEVERUSDT,LEVER,USDT,480,2023-06-05 10:24:01
LINKPERP,LINK,USDC,480,2024-11-28 08:47:18
LINKUSDT,LINK,USDT,480,2018-01-01 00:00:00
LISTAUSDT,LISTA,USDT,240,2024-06-21 10:16:55
LOOKSUSDT,LOOKS,USDT,480,2022-01-24 06:37:12
LPTUSDT,LPT,USDT,240,2021-12-13 01:12:39
LQTYUSDT,LQTY,USDT,480,2023-03-13 08:06:00
LRCUSDT,LRC,USDT,480,2021-11-11 00:00:00
LSKUSDT,LSK,USDT,240,2024-01-02 15:22:55
LTCPERP,LTC,USDC,240,2025-04-30 11:02:17
LTCUSDT,LTC,USDT,480,2018-01-01 00:00:00
LUMIAUSDT,LUMIA,USDT,240,2024-10-25 07:36:02
LUNA2USDT,LUNA2,USDT,480,2022-05-31 07:50:03
MAGICUSDT,MAGIC,USDT,120,2022-12-13 02:18:41
MAJORUSDT,MAJOR,USDT,480,2024-11-18 09:18:02
MANAUSDT,MANA,USDT,480,2021-11-08 00:00:00
MANTAUSDT,MANTA,USDT,240,2024-01-18 11:02:58
MASAUSDT,MASA,USDT,480,2024-05-21 09:34:52
MASKUSDT,MASK,USDT,480,2021-12-02 11:29:02
MAVIAUSDT,MAVIA,USDT,240,2024-02-07 09:12:26
MAVUSDT,MAV,USDT,480,2023-06-28 09:40:09
MBLUSDT,MBL,USDT,480,2023-11-14 10:40:25
MBOXUSDT,MBOX,USDT,240,2024-01-18 10:45:43
MDTUSDT,MDT,USDT,480,2023-06-30 08:04:46
MELANIAUSDT,MELANIA,USDT,240,2025-01-20 05:13:39
MEMEUSDT,MEME,USDT,240,2023-11-03 08:48:45
MERLUSDT,MERL,USDT,480,2024-04-19 11:02:21
METISUSDT,METIS,USDT,240,2024-01-02 15:05:24
MEUSDT,ME,USDT,240,2024-11-25 08:03:15
MEWUSDT,MEW,USDT,240,2024-04-23 09:15:41
MICHIUSDT,MICHI,USDT,240,2025-01-27 03:25:41
MILKUSDT,MILK,USDT,240,2025-05-06 10:28:08
MINAUSDT,MINA,USDT,240,2022-04-06 07:03:33
MKRUSDT,MKR,USDT,480,2022-02-15 04:47:15
MLNUSDT,MLN,USDT,240,2025-04-09 08:04:46
MNTPERP,MNT,USDC,480,2024-04-24 12:48:18
MNTUSDT,MNT,USDT,480,2023-10-02 05:40:55
MOBILEUSDT,MOBILE,USDT,480,2024-02-22 10:39:21
MOCAUSDT,MOCA,USDT,240,2024-07-12 09:57:42
MOODENGUSDT,MOODENG,USDT,240,2024-10-01 06:59:06
MORPHOUSDT,MORPHO,USDT,240,2024-11-22 08:35:59
MOVEUSDT,MOVE,USDT,120,2024-12-09 12:06:17
MOVRUSDT,MOVR,USDT,240,2023-11-23 06:09:22
MTLUSDT,MTL,USDT,480,2022-04-13 06:34:50
MUBARAKUSDT,MUBARAK,USDT,240,2025-03-17 07:41:36
MVLUSDT,MVL,USDT,480,2024-11-29 07:11:26
MYRIAUSDT,MYRIA,USDT,480,2023-12-15 06:14:39
MYROUSDT,MYRO,USDT,240,2024-01-18 13:39:51
NCUSDT,NC,USDT,240,2025-01-17 10:35:59
