symbol,spotSymbol
SHIB1000USDT,SHIB1000USDT
SIGNUSDT,SIGNUSDT
SIRENUSDT,SIRENUSDT
SKLUSDT,SKLUSDT
SKYAIUSDT,SKYAIUSDT
SLERFUSDT,SLERFUSDT
SLFUSDT,SLFUSDT
SLPUSDT,SLPUSDT
SNTUSDT,SNTUSDT
SNXUSDT,SNXUSDT
SOLAYERUSDT,SOLAYERUSDT
SOLOUSDT,SOLOUSDT
SOLPERP,SOLUSDC
SOLUSDT,SOLUSDT
SOLVUSDT,SOLVUSDT
SONICUSDT,SONICUSDT
SPECUSDT,SPECUSDT
SPELLUSDT,SPELLUSDT
SPXUSDT,SPXUSDT
SSVUSDT,SSVUSDT
STEEMUSDT,STEEMUSDT
STGUSDT,STGUSDT
STORJUSDT,STORJUSDT
STOUSDT,STOUSDT
STRKPERP,STRKUSDC
STRKUSDT,STRKUSDT
STXUSDT,STXUSDT
SUIPERP,SUIUSDC
SUIUSDT,SUIUSDT
SUNDOGUSDT,SUNDOGUSDT
SUNUSDT,SUNUSDT
SUPERUSDT,SUPERUSDT
SUSDT,SUSDT
SUSHIUSDT,SUSHIUSDT
SWARMSUSDT,SWARMSUSDT
SWEATUSDT,SWEATUSDT
SWELLUSDT,SWELLUSDT
SXPUSDT,SXPUSDT
SXTUSDT,SXTUSDT
SYNUSDT,SYNUSDT
SYSUSDT,SYSUSDT
TAIKOUSDT,TAIKOUSDT
TAIUSDT,TAIUSDT
TAOUSDT,TAOUSDT
THETAUSDT,THETAUSDT
THEUSDT,THEUSDT
TIAPERP,TIAUSDC
