rebalance_date,symbol,spot_symbol,linear_data_available,spot_data_available,both_available,linear_price_available,spot_price_available,prices_available,entry_timestamp,linear_price,spot_price,avg_funding_rate
2025-04-09 00:00:00+00:00,JELLYJELLYUSDT,JELLYJELLYUSDT,True,False,False,True,False,False,2025-04-09 00:00:00+00:00,0.010367,,42.448457142857144
2025-04-09 00:00:00+00:00,MAGICUSDT,MAGICUSDT,True,True,True,True,True,True,2025-04-09 00:00:00+00:00,0.1149,0.0685,30.466862857142857
2025-04-16 00:00:00+00:00,JELLYJELLYUSDT,JELLYJELLYUSDT,True,False,False,True,False,False,2025-04-16 00:00:00+00:00,0.012605,,32.774966428571425
2025-04-23 00:00:00+00:00,SOLAYERUSDT,SOLAYERUSDT,True,False,False,True,False,False,2025-04-23 00:00:00+00:00,0.8315,,94.61165
2025-04-23 00:00:00+00:00,JELLYJELLYUSDT,JELLYJELLYUSDT,True,False,False,True,False,False,2025-04-23 00:00:00+00:00,0.012453,,65.89777785714286
2025-04-23 00:00:00+00:00,FARTCOINUSDT,FARTCOINUSDT,True,False,False,True,False,False,2025-04-23 00:00:00+00:00,1.1262,,44.745506428571424
2025-04-23 00:00:00+00:00,BROCCOLIUSDT,BROCCOLIUSDT,True,False,False,True,False,False,2025-04-23 00:00:00+00:00,0.02866,,43.94641714285714
2025-04-23 00:00:00+00:00,MICHIUSDT,MICHIUSDT,True,False,False,True,False,False,2025-04-23 00:00:00+00:00,0.02575,,31.688882857142858
2025-04-30 00:00:00+00:00,10000WHYUSDT,WHYUSDT,True,False,False,True,False,False,2025-04-30 00:00:00+00:00,0.0004686,,38.73374785714285
2025-04-30 00:00:00+00:00,FARTCOINUSDT,FARTCOINUSDT,True,False,False,True,False,False,2025-04-30 00:00:00+00:00,1.1262,,36.83976285714285
2025-04-30 00:00:00+00:00,JELLYJELLYUSDT,JELLYJELLYUSDT,True,False,False,True,False,False,2025-04-30 00:00:00+00:00,0.03496,,32.13381785714286
2025-05-07 00:00:00+00:00,DOODUSDT,DOODUSDT,True,True,True,False,False,False,2025-05-07 00:00:00+00:00,,,71.11952
2025-05-07 00:00:00+00:00,1000000PEIPEIUSDT,PEIPEIUSDT,True,False,False,True,False,False,2025-05-07 00:00:00+00:00,0.04494,,61.826218499999996
2025-05-07 00:00:00+00:00,FARTCOINUSDT,FARTCOINUSDT,True,False,False,True,False,False,2025-05-07 00:00:00+00:00,1.1262,,50.84027368421052
2025-05-07 00:00:00+00:00,HYPEUSDT,HYPEUSDT,True,False,False,True,False,False,2025-05-07 00:00:00+00:00,12.305,,47.369919
2025-05-07 00:00:00+00:00,1000MUMUUSDT,MUMUUSDT,True,False,False,True,False,False,2025-05-07 00:00:00+00:00,0.002828,,45.2076225
