symbol,funding_interval_minutes,funding_events_per_day,mean_rate_per_interval,mean_abs_rate_per_interval,std_rate_per_interval,mean_daily_rate,mean_daily_abs_rate,std_daily_rate,max_abs_rate,max_daily_abs_rate,count,positive_count,negative_count,positive_pct,mean_positive,mean_negative,first_date,last_date,max_timestamp,max_rate_value,sharpe_ratio,annual_return
1000XECUSDT,480,3.0,0.01043925,0.01043925,0.0017569999999999999,0.031317750000000005,0.031317750000000005,0.0052710000000000005,0.017028,0.051084000000000004,16,16,0,100.0,0.01043925,0.0,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-11 00:00:00+00:00,0.017028,5.941519635742743,12.107931077490285
1000XUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,32,32,0,100.0,0.005,0.0,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-10 20:00:00+00:00,0.005,0.0,11.570174904772411
1INCHUSDT,480,3.0,0.0049266875,0.0105075625,0.011117002969738141,0.014780062500000003,0.0315226875,0.03335100890921443,0.028929,0.086787,16,14,2,87.5,0.00881957142857143,-0.022323500000000003,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 08:00:00+00:00,-0.028929,0.9451794272793562,5.542469644981751
A8USDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,32,32,0,100.0,0.005,0.0,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-10 20:00:00+00:00,0.005,0.0,11.570174904772411
AAVEPERP,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,32,32,0,100.0,0.005,0.0,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-10 20:00:00+00:00,0.005,0.0,11.570174904772411
AAVEUSDT,480,3.0,0.007805875,0.008049375000000001,0.003948306115707512,0.023417625,0.024148125000000003,0.011844918347122535,0.01,0.030000000000000002,16,15,1,93.75,0.008456133333333336,-0.001948,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-11 00:00:00+00:00,0.01,2.038690710423197,8.922270239461794
ACEUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,32,32,0,100.0,0.005,0.0,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-10 20:00:00+00:00,0.005,0.0,11.570174904772411
ACHUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,32,32,0,100.0,0.005,0.0,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-10 20:00:00+00:00,0.005,0.0,11.570174904772411
ACTUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,32,32,0,100.0,0.005,0.0,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-10 20:00:00+00:00,0.005,0.0,11.570174904772411
ACXUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,32,32,0,100.0,0.005,0.0,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-10 20:00:00+00:00,0.005,0.0,11.570174904772411
ADAUSDT,480,3.0,0.009440687500000001,0.009440687500000001,0.0017774673262350936,0.028322062500000005,0.028322062500000005,0.005332401978705283,0.01,0.030000000000000002,16,16,0,100.0,0.009440687500000001,0.0,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-11 00:00:00+00:00,0.01,5.311314228203901,10.88915267840016
AERGOUSDT,240,6.0,0.00449753125,0.01102771875,0.01958062860367667,0.0269851875,0.0661663125,0.11748377162206002,0.095957,0.575742,32,30,2,93.75,0.008280133333333335,-0.0522415,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-16 00:00:00+00:00,-0.095957,0.563195338270668,10.349525539540249
AEROUSDT,240,6.0,0.0027341562499999996,0.00695334375,0.01281754784587325,0.0164049375,0.0417200625,0.07690528707523953,0.06750700000000001,0.40504200000000007,32,31,1,96.875,0.004999999999999998,-0.06750700000000001,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-15 08:00:00+00:00,-0.06750700000000001,0.5424862722270783,6.170181964773636
AEVOPERP,480,3.0,0.01,0.01,0.0,0.030000000000000002,0.030000000000000002,0.0,0.01,0.030000000000000002,16,16,0,100.0,0.01,0.0,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-11 00:00:00+00:00,0.01,0.0,11.570174904772411
AEVOUSDT,240,6.0,0.0049022812499999995,0.0049022812499999995,0.0005185139581519356,0.029413687500000004,0.029413687500000004,0.0031110837489116134,0.005,0.030000000000000002,32,32,0,100.0,0.0049022812499999995,0.0,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-10 20:00:00+00:00,0.005,9.454482705677767,11.33173625570647
AGIUSDT,480,3.0,0.01,0.01,0.0,0.030000000000000002,0.030000000000000002,0.0,0.01,0.030000000000000002,16,16,0,100.0,0.01,0.0,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-11 00:00:00+00:00,0.01,0.0,11.570174904772411
AGLDUSDT,480,3.0,0.008639500000000001,0.009009375,0.0037538773022036827,0.0259185,0.027028125,0.011261631906611048,0.01,0.030000000000000002,16,15,1,93.75,0.009412733333333334,-0.002959,2025-05-11 00:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-11 00:00:00+00:00,0.01,2.400018507453912,9.920838127178255
AI16ZUSDT,240,6.0,0.005,0.005,0.0,0.030000000000000002,0.030000000000000002,0.0,0.005,0.030000000000000002,32,32,0,100.0,0.005,0.0,2025-05-10 20:00:00+00:00,2025-05-16 00:00:00+00:00,2025-05-10 20:00:00+00:00,0.005,0.0,11.570174904772411
