symbol,funding_interval_minutes,funding_events_per_day,mean_rate_per_interval,mean_abs_rate_per_interval,std_rate_per_interval,mean_daily_rate,mean_daily_abs_rate,std_daily_rate,max_abs_rate,count,positive_count,negative_count,positive_pct,mean_positive,mean_negative,first_date,last_date,sharpe_ratio,annual_return
AAVEPERP,240,6.0,0.004999999999999999,0.004999999999999999,6.812597691457456e-19,0.03000000000000001,0.03000000000000001,5.450078153165965e-18,0.005,94,94,0,100.0,0.004999999999999999,0.0,2025-04-30 12:00:00+00:00,2025-05-16 00:00:00+00:00,5504508221147788.0,11.570174904772411
AAVEUSDT,480,3.0,0.010515448138297873,0.012156037234042554,0.013680833385618476,0.031546344414893616,0.03646811170212766,0.04104250015685542,0.112218,1504,1338,166,88.9627659574468,0.01274212032884903,-0.007432066265060242,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.8885450828471596,12.201480146144528
ACEUSDT,240,6.0,0.012322992497320473,0.012446560557341908,0.016828098223819195,0.07393795498392282,0.07467936334405144,0.10096858934291517,0.15940500000000002,1866,1852,14,99.2497320471597,0.01247839794816415,-0.008234928571428572,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.7396296593826939,30.96681903959673
ACHUSDT,240,6.0,-0.00029528469945355073,0.018275046448087435,0.091867966529885,-0.0017717081967213194,0.10965027868852459,0.55120779917931,2.0,1830,1562,268,85.3551912568306,0.010532318822023047,-0.06340243656716418,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.19892729901823278,-0.6445927503948012
ACTUSDT,240,6.0,0.010659013057671382,0.011190159956474429,0.017664858898439863,0.0639540783460283,0.06714095973884658,0.10598915339063919,0.156997,919,903,16,98.25897714907508,0.011118156146179402,-0.015253875,2024-11-11 16:00:00+00:00,2025-05-16 00:00:00+00:00,0.633470101335637,26.283320614915983
ACXUSDT,240,6.0,0.005150785545023697,0.00803490402843602,0.029269811405574393,0.030904713270142176,0.048209424170616105,0.17561886843344632,0.75,844,826,18,97.86729857819904,0.0067365145278450375,-0.06761655555555555,2024-12-06 16:00:00+00:00,2025-05-16 00:00:00+00:00,0.2745116433140319,11.939098769375821
ADAUSDT,480,3.0,0.010600675531914893,0.012325421542553193,0.014672483128863118,0.03180202659574468,0.03697626462765957,0.04401744938658935,0.11068700000000001,1504,1305,199,86.7686170212766,0.013211053639846745,-0.0065176331658291465,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.8400365114959388,12.306206739626502
AERGOUSDT,240,6.0,-0.06536889581151832,0.08335840052356021,0.3160627846829904,-0.39221337486911,0.5001504031413613,1.896376708097943,3.0,1910,1420,490,74.3455497382199,0.012098575352112676,-0.2898664653061224,2024-01-01 00:00:00+00:00,2025-05-16 00:00:00+00:00,0.2637400053510517,-76.1740199624587
AEROUSDT,240,6.0,-0.014166760188087777,0.03223559247648903,0.06320315332957727,-0.08500056112852665,0.19341355485893416,0.3792189199774636,0.700814,1276,828,448,64.89028213166145,0.01392260265700483,-0.066081921875,2024-07-15 16:00:00+00:00,2025-05-16 00:00:00+00:00,0.5100313952437511,-26.683461931843986
AEVOPERP,480,3.0,0.00685508497316637,0.012854573345259392,0.03125852916447518,0.020565254919499103,0.038563720035778175,0.09377558749342553,0.727206,1118,1096,22,98.03220035778175,0.010052645072992703,-0.15244154545454547,2024-05-08 16:00:00+00:00,2025-05-16 00:00:00+00:00,0.4112341075813769,7.794393528183785
